Feature,Red_Mean,White_Mean,Red_Median,White_Median,U_Statistic,p_value,Significant_Difference (alpha=0.05)
fixed acidity,8.31963727329581,6.854787668436097,7.9,6.8,6138507.0,1.4389300228621962e-255,True
volatile acidity,0.5278205128205128,0.27824111882400976,0.52,0.26,7059623.5,0.0,True
citric acid,0.2709756097560976,0.33419150673744386,0.26,0.32,3070088.5,1.3125581817242063e-38,True
residual sugar,2.53880550343965,6.391414863209474,2.2,5.2,2569687.0,5.6340728348736734e-95,True
chlorides,0.08746654158849279,0.04577235606369946,0.079,0.043,7407015.5,0.0,True
free sulfur dioxide,15.874921826141339,35.30808493262556,14.0,34.0,1186396.5,0.0,True
total sulfur dioxide,46.46779237023139,138.36065741118824,38.0,134.0,366639.5,0.0,True
density,0.9967466791744841,0.9940273764801959,0.99675,0.99374,6059284.5,1.4530913918780195e-237,True
pH,3.3111131957473416,3.1882666394446715,3.31,3.18,5681839.5,5.47225819092577e-162,True
sulphates,0.6581488430268917,0.48984687627603113,0.62,0.47,6509961.0,0.0,True
alcohol,10.422983114446529,10.514267047774602,10.2,10.4,3829043.5,0.18184514400050011,False
